PING 8.8.4.4 (8.8.4.4) 56(84) bytes of data.
64 bytes from 8.8.4.4: icmp_seq=1 ttl=128 time=262 ms
64 bytes from 8.8.4.4: icmp_seq=2 ttl=128 time=291 ms
64 bytes from 8.8.4.4: icmp_seq=3 ttl=128 time=253 ms
64 bytes from 8.8.4.4: icmp_seq=4 ttl=128 time=173 ms
64 bytes from 8.8.4.4: icmp_seq=5 ttl=128 time=256 ms
64 bytes from 8.8.4.4: icmp_seq=6 ttl=128 time=287 ms
64 bytes from 8.8.4.4: icmp_seq=7 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=8 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=9 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=10 ttl=128 time=121 ms
64 bytes from 8.8.4.4: icmp_seq=11 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=12 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=13 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=14 ttl=128 time=152 ms
64 bytes from 8.8.4.4: icmp_seq=15 ttl=128 time=255 ms
64 bytes from 8.8.4.4: icmp_seq=16 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=17 ttl=128 time=254 ms
64 bytes from 8.8.4.4: icmp_seq=18 ttl=128 time=272 ms
64 bytes from 8.8.4.4: icmp_seq=19 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=20 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=21 ttl=128 time=116 ms
64 bytes from 8.8.4.4: icmp_seq=22 ttl=128 time=287 ms
64 bytes from 8.8.4.4: icmp_seq=23 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=24 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=25 ttl=128 time=262 ms
64 bytes from 8.8.4.4: icmp_seq=26 ttl=128 time=125 ms
64 bytes from 8.8.4.4: icmp_seq=27 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=28 ttl=128 time=105 ms
64 bytes from 8.8.4.4: icmp_64 bytes from 1.1.1.1: icmp_seq=29 ttl=128 time=248 ms
64 bytes from 1.1.1.1: icmp_seq=31 ttl=128 time=1263 ms
64 bytes from 1.1.1.1: icmp_seq=32 ttl=128 time=239 ms

--- 1.1.1.1 ping statistics ---
32 packets transmitted, 31 received, 3.125% packet loss, time 325561ms
rtt min/avg/max/mdev = 84.957/134.412/1262.892/209.617 ms, pipe 2
 ttl=128 time=108 ms
64 bytes from 8.8.4.4: icmp_seq=37 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=38 ttl=128 time=173 ms
64 bytes from 8.8.4.4: icmp_seq=39 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=40 ttl=128 time=105 ms
64 bytes from 8.8.4.4: icmp_seq=41 ttl=128 time=110 ms
64 bytes from 8.8.4.4: icmp_seq=42 ttl=128 time=105 ms
64 bytes from 8.8.4.4: icmp_seq=43 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=44 ttl=128 time=105 ms
64 bytes from 8.8.4.4: icmp_seq=45 ttl=128 time=262 ms
64 bytes from 8.8.4.4: icmp_seq=46 ttl=128 time=132 ms
64 bytes from 8.8.4.4: icmp_seq=47 ttl=128 time=261 ms
64 bytes from 8.8.4.4: icmp_seq=48 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=49 ttl=128 time=261 ms
64 bytes from 8.8.4.4: icmp_seq=50 ttl=128 time=105 ms
64 bytes from 8.8.4.4: icmp_seq=51 ttl=128 time=1277 ms
64 bytes from 8.8.4.4: icmp_seq=52 ttl=128 time=275 ms
64 bytes from 8.8.4.4: icmp_seq=53 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=54 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=55 ttl=128 time=1111 ms
64 bytes from 8.8.4.4: icmp_seq=56 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=57 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=58 ttl=128 time=110 ms
64 bytes from 8.8.4.4: icmp_seq=59 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=60 ttl=128 time=107 ms
64 bytes from 8.8.4.4: icmp_seq=61 ttl=128 time=102 ms
